Date,GDP Growth,Inflation,IR,UR
1962:Q2,3.592872568,1.108131916,2.71667,5.53333
1962:Q3,4.893681051,0.940678898,2.84000,5.56667
1962:Q4,1.306078046,0.961905505,2.81333,5.53333
1963:Q1,4.345097732,1.963538305,2.90667,5.76667
1963:Q2,4.461970541,0.349619811,2.94000,5.73333
1963:Q3,8.702676564,0.442413527,3.29333,5.50000
1963:Q4,2.615639304,2.598014236,3.49667,5.56667
1964:Q1,8.337895787,1.500073877,3.53000,5.46667
1964:Q2,4.3357501,1.173055094,3.47667,5.20000
1964:Q3,6.204517903,1.970334473,3.49667,5.00000
1964:Q4,1.231453481,1.710427647,3.68333,4.96667
1965:Q1,9.560065692,1.725804551,3.89000,4.90000
1965:Q2,5.026223665,1.876292683,3.87333,4.66667
1965:Q3,8.79409767,1.800183056,3.86667,4.36667
1965:Q4,9.107001301,2.64056903,4.16667,4.10000
1966:Q1,9.621542122,2.423778159,4.61000,3.86667
1966:Q2,1.367429819,3.597364863,4.58667,3.83333
1966:Q3,3.375851336,3.499967643,5.04333,3.76667
1966:Q4,3.267583567,3.253637591,5.21000,3.70000
1967:Q1,3.523237933,1.659977052,4.51333,3.83333
1967:Q2,0.246701477,2.402280801,3.66000,3.83333
1967:Q3,3.76091752,3.576584582,4.30000,3.80000
1967:Q4,3.007729047,4.405261229,4.75333,3.90000
1968:Q1,8.075886738,4.336537835,5.05000,3.73333
1968:Q2,6.632590309,4.454113453,5.52000,3.56667
1968:Q3,3.085029896,3.81645284,5.19667,3.53333
1968:Q4,1.570769214,5.527067262,5.58667,3.40000
1969:Q1,6.213987449,3.986677741,6.09333,3.40000
1969:Q2,1.208619424,5.241454308,6.19667,3.43333
1969:Q3,2.631694659,5.65648321,7.02333,3.56667
1969:Q4,-1.951931604,4.968054848,7.35333,3.56667
1970:Q1,-0.590680705,5.471627147,7.21000,4.16667
1970:Q2,0.566423334,5.731586245,6.67667,4.76667
1970:Q3,3.670341271,3.267584803,6.32667,5.16667
1970:Q4,-4.309648689,5.205909498,5.35333,5.83333
1971:Q1,10.7158897,6.015963542,3.84000,5.93333
1971:Q2,2.154643777,5.309851774,4.25000,5.90000
1971:Q3,3.280371414,4.019605101,5.01000,6.03333
1971:Q4,0.940089197,3.287332341,4.23000,5.93333
1972:Q1,7.28984593,6.375390036,3.43667,5.76667
1972:Q2,8.981522205,2.430481888,3.77000,5.70000
1972:Q3,3.759865276,3.609858768,4.22000,5.56667
1972:Q4,6.639308439,4.50850108,4.86333,5.36667
1973:Q1,9.781595681,5.048947123,5.70000,4.93333
1973:Q2,4.33327883,6.569787495,6.60333,4.93333
1973:Q3,-2.114975724,7.557191612,8.32333,4.80000
1973:Q4,3.779401084,6.872913477,7.50000,4.76667
1974:Q1,-3.448418064,8.02444946,7.61667,5.13333
1974:Q2,0.94917563,8.792557157,8.15333,5.20000
1974:Q3,-3.803202078,12.1354981,8.19000,5.63333
1974:Q4,-1.555662095,11.94671835,7.36000,6.60000
1975:Q1,-4.898108072,8.958241186,5.75000,8.26667
1975:Q2,2.85020635,5.754317747,5.39333,8.86667
1975:Q3,6.788299638,7.005244966,6.33000,8.46667
1975:Q4,5.351670984,6.623061035,5.62667,8.30000
1976:Q1,8.894593129,4.359538883,4.91667,7.73333
1976:Q2,2.921448683,3.966676636,5.15667,7.56667
1976:Q3,2.190571259,5.068194634,5.15000,7.73333
1976:Q4,2.891136402,6.738031626,4.67333,7.76667
1977:Q1,4.695898771,6.418306058,4.63000,7.50000
1977:Q2,7.703879124,6.26873062,4.84000,7.13333
1977:Q3,7.153035532,5.471091653,5.49667,6.90000
1977:Q4,0.006335479,6.627119336,6.11000,6.66667
1978:Q1,1.27139858,6.496097301,6.39333,6.33333
1978:Q2,15.1686339,7.90683677,6.47667,6.00000
1978:Q3,4.005054861,7.000458239,7.31333,6.03333
1978:Q4,5.3398307,7.826921327,8.57000,5.90000
1979:Q1,0.718085102,7.399341297,9.38333,5.86667
1979:Q2,0.426679349,9.54296556,9.37667,5.70000
1979:Q3,2.962320834,8.270680582,9.67333,5.86667
1979:Q4,0.998224267,7.232006847,11.84333,5.96667
1980:Q1,1.253056812,8.646627056,13.35333,6.30000
1980:Q2,-8.329327026,9.384594672,9.61667,7.33333
1980:Q3,-0.4718496,8.822807073,9.15333,7.66667
1980:Q4,7.389744624,10.46276825,13.61333,7.40000
1981:Q1,7.762382831,10.46300149,14.39000,7.43333
1981:Q2,-2.97442081,7.446707176,14.90667,7.40000
1981:Q3,4.75997146,7.69620352,15.05333,7.40000
1981:Q4,-4.383337238,6.557941703,11.75000,8.23333
1982:Q1,-6.263215582,5.688687326,12.81333,8.83333
1982:Q2,1.825455312,5.281149432,12.42000,9.43333
1982:Q3,-1.537289928,5.511601749,9.31667,9.90000
1982:Q4,0.164572774,4.030402644,7.90667,10.66667
1983:Q1,5.236693175,3.181042227,8.10667,10.36667
1983:Q2,8.998164398,2.958932775,8.39667,10.13333
1983:Q3,7.917159076,4.226205871,9.14000,9.36667
1983:Q4,8.259401642,2.983870705,8.80000,8.53333
1984:Q1,7.745239557,3.921184636,9.17000,7.86667
1984:Q2,6.847913463,3.579322715,9.79667,7.43333
1984:Q3,3.841032879,3.592759265,10.32000,7.43333
1984:Q4,3.268368664,2.791337207,8.80333,7.30000
1985:Q1,3.860548211,4.069407861,8.18333,7.23333
1985:Q2,3.504711659,2.361586904,7.46000,7.30000
1985:Q3,6.061559735,2.647534944,7.10667,7.20000
1985:Q4,2.96201935,2.070579135,7.16667,7.03333
1986:Q1,3.716097254,1.973091665,6.89667,7.03333
1986:Q2,1.801231599,1.401355835,6.14000,7.16667
1986:Q3,3.805733621,1.89197076,5.52333,6.96667
1986:Q4,2.142061059,2.368500941,5.35333,6.83333
1987:Q1,2.972102405,2.312001244,5.53667,6.60000
1987:Q2,4.289598081,2.707561259,5.65667,6.26667
1987:Q3,3.457889065,3.074076857,6.04333,6.00000
1987:Q4,6.808951739,2.988181381,5.86333,5.83333
1988:Q1,2.062440333,3.08310665,5.72333,5.70000
1988:Q2,5.220859397,3.974200601,6.21000,5.46667
1988:Q3,2.335654576,4.865712422,7.01000,5.46667
1988:Q4,5.296848425,3.667566782,7.72667,5.33333
1989:Q1,4.043515093,3.826000608,8.54000,5.20000
1989:Q2,3.040908099,4.30673753,8.41000,5.23333
1989:Q3,2.953068522,2.958149986,7.84333,5.23333
1989:Q4,0.786695593,2.717269899,7.65333,5.36667
1990:Q1,4.350646574,4.335112572,7.76000,5.30000
1990:Q2,1.445437949,4.452665539,7.74667,5.33333
1990:Q3,0.26804662,3.441745865,7.47667,5.70000
1990:Q4,-3.657480859,3.046387812,6.99000,6.13333
1991:Q1,-1.875857199,3.866315904,6.02333,6.60000
1991:Q2,3.10586915,2.87235684,5.56000,6.83333
1991:Q3,2.014687544,3.057835359,5.37667,6.86667
1991:Q4,1.394085056,2.318777062,4.54000,7.10000
1992:Q1,4.757542377,1.598391719,3.89333,7.36667
1992:Q2,4.316071129,2.379713741,3.68000,7.60000
1992:Q3,3.933355054,1.909056011,3.08333,7.63333
1992:Q4,4.151211926,2.808315246,3.07000,7.36667
1993:Q1,0.666057622,2.373127262,2.96000,7.13333
1993:Q2,2.322506247,2.353308637,2.96667,7.06667
1993:Q3,1.903759285,2.003677591,3.00333,6.80000
1993:Q4,5.404059404,2.345166937,3.06000,6.63333
1994:Q1,3.859545927,2.039369916,3.24333,6.56667
1994:Q2,5.385685975,1.903581376,3.98667,6.20000
1994:Q3,2.331220354,2.127210781,4.47667,6.00000
1994:Q4,4.557396396,2.223155043,5.28000,5.63333
1995:Q1,1.416683577,2.27257358,5.73667,5.46667
1995:Q2,1.188719406,1.958429338,5.59667,5.66667
1995:Q3,3.387713513,1.787768478,5.36667,5.66667
1995:Q4,2.708278502,1.884913123,5.26000,5.56667
1996:Q1,2.985794316,1.837536082,4.93000,5.53333
1996:Q2,6.614931397,1.631791943,5.02000,5.50000
1996:Q3,3.571403836,1.93630812,5.09667,5.26667
1996:Q4,4.132079338,1.687972993,4.97667,5.33333
1997:Q1,2.576538501,1.789081472,5.06000,5.23333
1997:Q2,6.590988346,1.985704874,5.04667,5.00000
1997:Q3,4.972750629,1.187781778,5.04667,4.86667
1997:Q4,3.41993722,1.430323547,5.09000,4.66667
1998:Q1,3.979220172,0.406199928,5.05333,4.63333
1998:Q2,3.685701209,1.035012248,4.97667,4.40000
1998:Q3,4.979959287,1.547514145,4.82333,4.53333
1998:Q4,6.411576197,1.070709852,4.25333,4.43333
1999:Q1,3.759514429,1.078409999,4.40667,4.30000
1999:Q2,3.325167994,1.806680668,4.45333,4.26667
1999:Q3,5.258387097,1.531644453,4.65000,4.23333
1999:Q4,6.517589625,2.099084512,5.04333,4.06667
2000:Q1,1.456034074,2.65761015,5.52000,4.03333
2000:Q2,7.213862875,2.398444333,5.71333,3.93333
2000:Q3,0.400689097,2.496595803,6.01667,4.00000
2000:Q4,2.371614211,2.161010327,6.01667,3.90000
2001:Q1,-1.299016307,2.730386028,4.81667,4.23333
2001:Q2,2.47656396,2.656713793,3.66000,4.40000
2001:Q3,-1.606058769,1.211788313,3.17000,4.83333
2001:Q4,1.109562389,1.287876119,1.90667,5.50000
2002:Q1,3.29839424,1.065101167,1.72000,5.70000
2002:Q2,2.456068418,1.582451264,1.71333,5.83333
2002:Q3,1.608348983,1.783280405,1.64333,5.73333
2002:Q4,0.522873961,2.319673295,1.33333,5.86667
2003:Q1,2.061192394,2.155232924,1.15667,5.86667
2003:Q2,3.558437971,1.367256542,1.04000,6.13333
2003:Q3,6.614059098,2.290965329,0.93000,6.13333
2003:Q4,4.589112881,2.311532762,0.91667,5.83333
2004:Q1,2.283406039,2.856454385,0.91667,5.70000
2004:Q2,3.103539976,3.233655037,1.07667,5.60000
2004:Q3,3.746969805,2.526879985,1.48667,5.43333
2004:Q4,4.068382203,3.07103236,2.00667,5.43333
2005:Q1,4.417647223,3.056889943,2.53667,5.30000
2005:Q2,1.942754811,2.914268303,2.86333,5.10000
2005:Q3,3.130637541,3.758901829,3.36000,4.96667
2005:Q4,2.264194728,3.173396521,3.82667,4.96667
2006:Q1,5.35977615,2.789850894,4.39333,4.73333
2006:Q2,0.980161405,3.522403159,4.70333,4.63333
2006:Q3,0.601582537,2.918444124,4.90667,4.63333
2006:Q4,3.360019236,1.519415642,4.90333,4.43333
2007:Q1,1.17492628,3.98461511,4.98333,4.50000
2007:Q2,2.545022882,2.529306309,4.73667,4.50000
2007:Q3,2.401333317,1.687411133,4.30333,4.66667
2007:Q4,2.430133402,1.933263346,3.39000,4.80000
2008:Q1,-1.632032769,1.723449346,2.04333,5.00000
2008:Q2,2.283492519,1.448273772,1.62667,5.33333
2008:Q3,-2.112859806,3.087706394,1.49333,6.00000
2008:Q4,-8.830267009,0.720838644,0.29667,6.86667
2009:Q1,-4.689440732,0.109487515,0.21333,8.26667
2009:Q2,-0.67744577,-0.551953782,0.17333,9.30000
2009:Q3,1.443132211,0.244470445,0.15667,9.63333
2009:Q4,4.251603967,1.467891556,0.05667,9.93333
2010:Q1,1.995120123,1.010509199,0.10667,9.83333
2010:Q2,3.850430708,1.859195643,0.14667,9.63333
2010:Q3,3.081858351,1.452088449,0.15667,9.46667
2010:Q4,2.072668372,2.286004483,0.13667,9.50000
2011:Q1,-0.965232482,1.956719298,0.12667,9.03333
2011:Q2,2.702345751,2.878490882,0.04667,9.06667
2011:Q3,-0.153712893,2.11187502,0.02333,9.00000
2011:Q4,4.461282986,0.511031867,0.01333,8.63333
2012:Q1,3.259224888,2.384278947,0.06667,8.26667
2012:Q2,1.817865414,1.660579265,0.08667,8.20000
2012:Q3,0.700764566,2.456081399,0.10333,8.03333
2012:Q4,0.437048493,1.695238169,0.08667,7.80000
2013:Q1,3.457407412,1.561526649,0.08667,7.73333
2013:Q2,0.556739155,1.200680233,0.05000,7.53333
2013:Q3,3.153157218,2.14355408,0.03333,7.23333
2013:Q4,2.836610251,2.256964863,0.06333,6.93333
2014:Q1,-1.404982414,1.615456056,0.04667,6.66667
2014:Q2,5.104730953,2.273910935,0.03333,6.20000
2014:Q3,4.632751217,1.838321772,0.02667,6.06667
2014:Q4,1.791512037,0.28827722,0.02333,5.70000
2015:Q1,3.239825043,-0.046110396,0.02667,5.53333
2015:Q2,2.314966864,2.264645015,0.02000,5.43333
2015:Q3,1.291287238,0.976997175,0.04000,5.10000
2015:Q4,0.584532349,-0.026683058,0.12333,5.03333
2016:Q1,2.350119955,-0.224970812,0.28667,4.90000
2016:Q2,1.20736447,2.672391372,0.25667,4.93333
2016:Q3,2.397080436,1.203008426,0.29667,4.90000
2016:Q4,1.983283509,2.169864619,0.43000,4.76667
2017:Q1,1.881871449,2.012399023,0.59000,4.56667
2017:Q2,2.233285457,1.321093901,0.89000,4.36667
2017:Q3,2.865776453,2.158823278,1.03667,4.33333
2017:Q4,3.744924109,2.644515634,1.20667,4.16667
2018:Q1,3.040332607,2.400337524,1.56000,4.03333
2018:Q2,3.320901799,3.076545686,1.84000,3.93333
2018:Q3,1.923287025,1.778964269,2.04000,3.76667
2018:Q4,0.891957515,1.961795871,2.31667,3.83333
2019:Q1,2.383742692,1.117233868,2.38667,3.86667
2019:Q2,3.158492917,2.289358971,2.30000,3.60000
2019:Q3,2.73421338,1.360242736,1.98000,3.63333
2019:Q4,1.870811188,1.500859964,1.57667,3.60000
2020:Q1,-5.248238668,1.590501512,1.11000,3.80000
2020:Q2,-37.4488296,-1.51259645,0.14333,12.96667
2020:Q3,29.10577481,3.57785715,0.11333,8.83333
2020:Q4,4.436322216,2.194279218,0.09333,6.76667
2021:Q1,6.089453599,4.218111707,0.05000,6.20000
2021:Q2,6.508575827,5.896272542,0.02667,5.90000
2021:Q3,2.277647786,5.787140914,0.04667,5.10000
2021:Q4,6.667296185,6.889899758,0.05333,4.23333
2022:Q1,-1.586476575,7.880259431,0.30667,3.80000
2022:Q2,-0.937842986,8.386950034,1.07667,3.60000
